restaurant id,category id,item id,category,item,serving size (oz),calories,calories from fat,total fat (g),total fat (% daily value),saturated fat (g),saturated fat (% daily value),trans fat (g),cholesterol (mg),cholesterol (% daily value),sodium (mg),sodium (% daily value),carbohydrates (g),carbohydrates (% daily value),dietary fiber (g),dietary fiber (% daily value),sugars (g),protein (g),vitamin a (% daily value),vitamin c (% daily value),calcium (% daily value),iron (% daily value)
1000,107,209,beverages,iced coffee with sugar free french vanilla syrup (medium),22.0,120,60.0,7.0,11.0,4.5,22.0,0.0,25.0,9.0,90.0,4.0,12,4.0,0,0.0,2.0,1.0,4.0,0.0,4.0,0.0
1000,107,210,beverages,iced coffee with sugar free french vanilla syrup (large),32.0,160,80.0,9.0,14.0,6.0,29.0,0.0,35.0,12.0,135.0,6.0,18,6.0,0,0.0,2.0,2.0,6.0,0.0,8.0,0.0
1000,107,211,beverages,iced mocha (small),12.0,290,100.0,11.0,17.0,7.0,33.0,0.0,35.0,12.0,125.0,5.0,41,14.0,1,4.0,34.0,8.0,10.0,0.0,25.0,4.0
1000,107,212,beverages,iced mocha (medium),16.0,350,110.0,13.0,19.0,8.0,38.0,0.0,40.0,13.0,150.0,6.0,50,17.0,1,5.0,43.0,9.0,10.0,0.0,30.0,6.0
1000,107,213,beverages,iced mocha (large),22.0,480,150.0,16.0,25.0,10.0,49.0,0.5,50.0,17.0,220.0,9.0,70,23.0,2,8.0,62.0,14.0,15.0,0.0,40.0,8.0
1000,107,214,beverages,iced mocha with nonfat milk (small),12.0,240,45.0,5.0,8.0,3.0,16.0,0.0,20.0,7.0,125.0,5.0,41,14.0,1,4.0,35.0,8.0,10.0,0.0,25.0,4.0
1000,107,215,beverages,iced mocha with nonfat milk (medium),16.0,290,45.0,5.0,8.0,3.5,17.0,0.0,20.0,7.0,150.0,6.0,50,17.0,1,5.0,43.0,10.0,15.0,0.0,30.0,6.0
1000,107,216,beverages,iced mocha with nonfat milk (large),22.0,390,50.0,6.0,9.0,3.5,18.0,0.0,25.0,8.0,220.0,9.0,71,24.0,2,8.0,62.0,14.0,20.0,0.0,45.0,8.0
1000,107,217,beverages,iced caramel mocha (small),12.0,280,100.0,11.0,17.0,7.0,33.0,0.0,35.0,12.0,140.0,6.0,38,13.0,0,0.0,33.0,8.0,10.0,0.0,25.0,2.0
1000,107,218,beverages,iced caramel mocha (medium),16.0,340,110.0,13.0,19.0,7.0,37.0,0.0,40.0,13.0,170.0,7.0,46,15.0,1,2.0,41.0,9.0,10.0,0.0,30.0,2.0
1000,107,219,beverages,iced caramel mocha (large),22.0,460,150.0,16.0,25.0,10.0,48.0,0.5,50.0,17.0,250.0,10.0,65,22.0,1,3.0,59.0,13.0,15.0,0.0,40.0,4.0
1000,107,220,beverages,iced nonfat caramel mocha (small),12.0,230,45.0,5.0,8.0,3.0,16.0,0.0,20.0,7.0,140.0,6.0,38,13.0,0,0.0,33.0,8.0,10.0,0.0,25.0,2.0
1000,107,221,beverages,iced nonfat caramel mocha (medium),16.0,270,45.0,5.0,8.0,3.0,16.0,0.0,20.0,7.0,170.0,7.0,47,16.0,1,2.0,41.0,10.0,15.0,0.0,30.0,2.0
1000,107,222,beverages,iced nonfat caramel mocha (large),22.0,370,50.0,6.0,8.0,3.5,17.0,0.0,25.0,8.0,250.0,10.0,65,22.0,1,3.0,59.0,14.0,20.0,0.0,45.0,4.0
1000,107,223,beverages,frappe mocha (small),12.0,450,160.0,18.0,28.0,12.0,59.0,1.0,65.0,21.0,125.0,5.0,65,22.0,1,3.0,57.0,7.0,15.0,0.0,20.0,4.0
1000,107,224,beverages,frappe mocha (medium),16.0,550,200.0,22.0,34.0,14.0,71.0,1.0,75.0,25.0,160.0,7.0,80,27.0,1,4.0,71.0,9.0,15.0,0.0,25.0,4.0
1000,107,225,beverages,frappe mocha (large),22.0,670,240.0,26.0,41.0,17.0,85.0,1.0,90.0,30.0,190.0,8.0,98,33.0,1,4.0,88.0,11.0,20.0,0.0,35.0,4.0
1000,107,226,beverages,frappe caramel (small),12.0,450,170.0,19.0,29.0,12.0,60.0,1.0,65.0,22.0,125.0,5.0,64,21.0,0,0.0,57.0,7.0,15.0,0.0,25.0,2.0
1000,107,227,beverages,frappe caramel (medium),16.0,550,200.0,23.0,35.0,15.0,73.0,1.0,80.0,27.0,160.0,7.0,79,26.0,0,0.0,71.0,9.0,20.0,0.0,30.0,2.0
1000,107,228,beverages,frappe caramel (large),22.0,670,250.0,27.0,42.0,17.0,87.0,1.5,95.0,32.0,190.0,8.0,96,32.0,0,0.0,88.0,11.0,20.0,0.0,35.0,2.0
1000,107,229,beverages,frappe chocolate chip (small),12.0,530,200.0,23.0,35.0,14.0,72.0,1.0,65.0,22.0,135.0,6.0,76,25.0,1,5.0,67.0,8.0,15.0,0.0,25.0,4.0
1000,107,230,beverages,frappe chocolate chip (medium),16.0,630,240.0,26.0,41.0,17.0,85.0,1.0,80.0,26.0,160.0,7.0,91,30.0,1,5.0,81.0,9.0,15.0,0.0,30.0,4.0
1000,107,231,beverages,frappe chocolate chip (large),22.0,760,280.0,31.0,48.0,20.0,101.0,1.5,95.0,32.0,200.0,8.0,111,37.0,1,5.0,99.0,12.0,20.0,0.0,35.0,6.0
1000,108,232,beverages,blueberry pomegranate smoothie (small),12.0,220,5.0,0.5,1.0,0.0,0.0,0.0,5.0,1.0,40.0,2.0,50,17.0,3,12.0,44.0,2.0,0.0,2.0,6.0,2.0
1000,108,233,beverages,blueberry pomegranate smoothie (medium),16.0,260,5.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,50.0,2.0,62,21.0,4,15.0,54.0,3.0,0.0,4.0,8.0,2.0
1000,108,234,beverages,blueberry pomegranate smoothie (large),22.0,340,10.0,1.0,2.0,0.5,3.0,0.0,5.0,2.0,65.0,3.0,79,26.0,5,19.0,70.0,4.0,0.0,4.0,10.0,2.0
1000,108,235,beverages,strawberry banana smoothie (small),12.0,210,5.0,0.5,1.0,0.0,0.0,0.0,5.0,1.0,50.0,2.0,47,16.0,3,10.0,44.0,3.0,0.0,30.0,8.0,2.0
1000,108,236,beverages,strawberry banana smoothie (medium),16.0,250,5.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,60.0,2.0,58,19.0,3,13.0,54.0,4.0,0.0,35.0,8.0,4.0
